(1.034878625150185,0.06327430657434197)
(1.028710366092965,0.01136490882106155)
(1.042727570773691,0.0160918114108238)
(1.047607629205962,0.09497367611826149)
(1.016360701881522,-0.009453656335314522)
(1.027255601680415,-0.01673269637207921)
(1.027163700483624,-0.01315410725702896)
(1.018404123635417,0.007805876021049868)
(1.031144721511883,0.01291171283819592)
(0.972631697101815,0.05911004469125743)
(1.030772025905316,-0.01884864698139707)
(1.037809512780231,-0.02386091190380957)
(1.028372069293301,0.0002374827201119906)
(1.055724193165225,-0.002854664610636774)
(1.04155063992401,-0.0006208516007182258)
(1.03430021311028,0.06220680157490658)
(1.020313263067819,0.0306027802337208)
(1.02065401987709,0.03204161261392204)
(1.020675737841469,0.07659043376127787)
(1.006378817451301,0.005412310318657615)
(1.020841035939082,-0.01616190736452361)
(1.031624215151663,-0.02572039174656176)
(1.039868947080612,-0.03438648821401757)
(1.016015295570797,0.02078945076355509)
(1.010096817109763,0.008440740018479959)
(1.025932485676688,-0.01535929612454059)
(1.025919236347296,-0.01739898922671959)
(1.014868430054328,-0.008905458924066351)
(1.024107441562535,-0.01506558577674749)
(1.033716369561683,-0.02347057052408752)
(1.020904822713675,-0.01566708465356994)
(1.04188153348989,-0.004142002050873132)
(1.055425387892915,0.002692575586173694)
(1.06635763059866,0.01067387562336284)
(1.059184025975081,-0.04505309956738672)
(1.033976432399828,-0.02167584520934174)
(1.041655114702738,-0.02161100226722071)
(1.049786920745349,-0.01978599447997122)
(0.9741564178054384,0.03084538905327714)
(1.061248968585451,-0.004742763275037536)
(1.031421133946945,5.52860420839986e-05)
(1.05603286865048,-0.01856294256876903)
(1.042867490126256,-0.02165257826987245)
(1.050029793156195,-0.01981013503952506)
(1.050247341395721,-0.01792665792295981)
(1.007367103369866,0.003249780124554813)
(0.9562321142015767,0.04675305611517554)
(0.9461967041437502,0.05221901498019785)
(0.9394466491219209,0.07878163242448499)
(0.9159368998369233,0.1097458832855612)
(1.007194040198412,-0.05234718363813826)
(0.990133614679799,-0.04836130136830519)
(0.9796890474452684,0.03899577987392242)
(0.9779838319386883,0.03379643487484529)
(1.07030469268747,-0.03385998561863017)
(1.013093916156617,-0.006578572479414294)
